date,reason,detail,iv_rmse,n_maturities,n_strikes,n_cells
2013-02-19,pegged,calibration rejected (boundary-pegged),0.010656636888848757,13.0,106.0,437.0
2013-02-20,pegged,calibration rejected (boundary-pegged),0.011684360459149348,12.0,120.0,503.0
2013-02-21,pegged,calibration rejected (boundary-pegged),0.00945785589091271,12.0,118.0,528.0
2013-02-22,pegged,calibration rejected (boundary-pegged),0.008653448610035534,10.0,113.0,419.0
2013-02-25,pegged,calibration rejected (boundary-pegged),0.014217727431870875,12.0,140.0,525.0
2013-02-26,pegged,calibration rejected (boundary-pegged),0.007677824722251308,10.0,122.0,474.0
2013-02-27,pegged,calibration rejected (boundary-pegged),0.009039338409523352,11.0,122.0,472.0
2013-02-28,pegged,calibration rejected (boundary-pegged),0.010096227715564742,12.0,123.0,462.0
2013-03-01,pegged,calibration rejected (boundary-pegged),0.009738548911212957,12.0,105.0,446.0
2013-03-04,pegged,calibration rejected (boundary-pegged),0.008446984476967876,12.0,118.0,412.0
2013-03-05,pegged,calibration rejected (boundary-pegged),0.008897024914293889,13.0,110.0,459.0
2013-03-06,pegged,calibration rejected (boundary-pegged),0.01019278423152268,11.0,105.0,376.0
2013-03-07,pegged,calibration rejected (boundary-pegged),0.012340578806234126,12.0,108.0,375.0
2013-03-08,pegged,calibration rejected (boundary-pegged),0.00956467196879691,12.0,117.0,428.0
2013-03-11,pegged,calibration rejected (boundary-pegged),0.011234544659369254,14.0,119.0,420.0
2013-03-12,pegged,calibration rejected (boundary-pegged),0.009601033578954395,12.0,110.0,450.0
2013-03-13,pegged,calibration rejected (boundary-pegged),0.010487915966664891,11.0,116.0,370.0
2013-03-14,pegged,calibration rejected (boundary-pegged),0.009059661968945493,11.0,112.0,325.0
2013-03-15,pegged,calibration rejected (boundary-pegged),0.010370295816189038,10.0,106.0,364.0
2013-03-18,pegged,calibration rejected (boundary-pegged),0.009097131846631225,12.0,112.0,426.0
2013-03-19,pegged,calibration rejected (boundary-pegged),0.009146396773581332,13.0,125.0,467.0
2013-03-20,pegged,calibration rejected (boundary-pegged),0.010388209280723891,11.0,107.0,361.0
2013-03-21,pegged,calibration rejected (boundary-pegged),0.011285123291874297,13.0,115.0,414.0
2013-03-27,pegged,calibration rejected (boundary-pegged),0.009492759035977055,13.0,125.0,426.0
2013-03-28,pegged,calibration rejected (boundary-pegged),0.010174182700076745,15.0,116.0,438.0
2013-04-04,pegged,calibration rejected (boundary-pegged),0.009001650099902878,15.0,113.0,394.0
2013-04-05,pegged,calibration rejected (boundary-pegged),0.010648990825986712,14.0,120.0,510.0
2013-04-11,pegged,calibration rejected (boundary-pegged),0.009002367873020186,13.0,123.0,492.0
2013-04-15,pegged,calibration rejected (boundary-pegged),0.011852236888848731,12.0,150.0,546.0
2013-04-16,pegged,calibration rejected (boundary-pegged),0.010191626707865388,11.0,132.0,463.0
2013-04-17,pegged,calibration rejected (boundary-pegged),0.011631529492836442,15.0,139.0,517.0
2013-04-18,pegged,calibration rejected (boundary-pegged),0.009279916901303411,14.0,146.0,537.0
2013-04-22,pegged,calibration rejected (boundary-pegged),0.008284970892627443,14.0,159.0,523.0
2013-04-23,pegged,calibration rejected (boundary-pegged),0.009183193034567763,15.0,129.0,477.0
2013-04-24,pegged,calibration rejected (boundary-pegged),0.00972326040739953,14.0,113.0,370.0
2013-04-25,pegged,calibration rejected (boundary-pegged),0.010043480987621546,14.0,122.0,429.0
2013-05-14,pegged,calibration rejected (boundary-pegged),0.009748803261632893,15.0,145.0,619.0
2013-05-15,pegged,calibration rejected (boundary-pegged),0.01045281825307246,15.0,143.0,615.0
2013-05-16,pegged,calibration rejected (boundary-pegged),0.010988876640980494,15.0,137.0,597.0
2013-05-17,pegged,calibration rejected (boundary-pegged),0.009094448487666412,14.0,136.0,576.0
2013-05-21,pegged,calibration rejected (boundary-pegged),0.008536599247098048,14.0,125.0,521.0
2013-05-23,pegged,calibration rejected (boundary-pegged),0.008991762014438055,14.0,152.0,664.0
2013-05-28,pegged,calibration rejected (boundary-pegged),0.009852787716503563,12.0,136.0,517.0
2013-06-03,pegged,calibration rejected (boundary-pegged),0.007234033225590199,13.0,143.0,587.0
2013-06-04,pegged,calibration rejected (boundary-pegged),0.008762837604808213,13.0,150.0,531.0
2013-06-05,pegged,calibration rejected (boundary-pegged),0.008249615660658911,13.0,144.0,586.0
2013-06-06,pegged,calibration rejected (boundary-pegged),0.009622814301409223,14.0,147.0,646.0
2013-07-17,pegged,calibration rejected (boundary-pegged),0.011021157368925014,12.0,106.0,347.0
2013-07-22,pegged,calibration rejected (boundary-pegged),0.009820550522397487,13.0,110.0,408.0
2013-07-23,pegged,calibration rejected (boundary-pegged),0.009597395735254222,12.0,110.0,397.0
2013-07-24,pegged,calibration rejected (boundary-pegged),0.009913036719840842,14.0,132.0,499.0
2013-07-25,pegged,calibration rejected (boundary-pegged),0.010078938021993564,14.0,120.0,425.0
2013-08-28,pegged,calibration rejected (boundary-pegged),0.008890809213429352,12.0,120.0,521.0
2013-08-29,pegged,calibration rejected (boundary-pegged),0.009422960765272001,13.0,112.0,497.0
2013-09-12,pegged,calibration rejected (boundary-pegged),0.008707207747545062,12.0,121.0,471.0
2013-09-18,iv_miss,calibration rejected (iv_rmse=0.0290 > 0.02),0.029033557549765703,10.0,142.0,495.0
2013-09-19,pegged,calibration rejected (boundary-pegged),0.013865294257693242,12.0,111.0,479.0
2013-09-23,pegged,calibration rejected (boundary-pegged),0.00968465058181628,11.0,124.0,445.0
2013-09-25,pegged,calibration rejected (boundary-pegged),0.011628033013626894,13.0,142.0,475.0
2013-09-26,pegged,calibration rejected (boundary-pegged),0.012187282227103509,13.0,142.0,486.0
2013-09-27,pegged,calibration rejected (boundary-pegged),0.009424642636619485,11.0,112.0,386.0
2013-09-30,pegged,calibration rejected (boundary-pegged),0.009265239623339064,11.0,125.0,465.0
2013-10-01,pegged,calibration rejected (boundary-pegged),0.0075177683241170225,11.0,118.0,482.0
2013-10-02,pegged,calibration rejected (boundary-pegged),0.00766907083025444,10.0,129.0,450.0
2013-10-03,pegged,calibration rejected (boundary-pegged),0.00917390221332106,12.0,132.0,536.0
2013-10-04,pegged,calibration rejected (boundary-pegged),0.008799328896881864,13.0,141.0,531.0
2013-10-07,pegged,calibration rejected (boundary-pegged),0.0066205080446403225,12.0,119.0,477.0
2013-10-08,pegged,calibration rejected (boundary-pegged),0.009324598133259603,12.0,150.0,604.0
2013-10-09,pegged,calibration rejected (boundary-pegged),0.00921601722495001,11.0,155.0,601.0
2013-10-10,pegged,calibration rejected (boundary-pegged),0.008973686664773285,11.0,135.0,530.0
2013-10-11,pegged,calibration rejected (boundary-pegged),0.009165376755899408,10.0,125.0,401.0
2013-10-14,pegged,calibration rejected (boundary-pegged),0.012190642369050196,11.0,115.0,390.0
2013-10-15,pegged,calibration rejected (boundary-pegged),0.013272883121624078,10.0,116.0,405.0
2013-10-16,pegged,calibration rejected (boundary-pegged),0.009621644841305534,11.0,128.0,476.0
2013-10-17,pegged,calibration rejected (boundary-pegged),0.009976983687705979,12.0,125.0,567.0
2013-10-18,pegged,calibration rejected (boundary-pegged),0.008437769126160961,11.0,127.0,509.0
2013-10-21,pegged,calibration rejected (boundary-pegged),0.01334185459437835,11.0,95.0,375.0
2013-10-22,pegged,calibration rejected (boundary-pegged),0.011959084099170028,13.0,111.0,480.0
2013-10-23,pegged,calibration rejected (boundary-pegged),0.012325155074533283,12.0,116.0,416.0
2013-10-24,pegged,calibration rejected (boundary-pegged),0.013743979786709883,13.0,120.0,439.0
2013-10-25,pegged,calibration rejected (boundary-pegged),0.00931879630277463,13.0,115.0,405.0
2013-10-28,pegged,calibration rejected (boundary-pegged),0.00885437518111843,12.0,117.0,429.0
2013-10-29,pegged,calibration rejected (boundary-pegged),0.009397749211529737,12.0,110.0,419.0
2013-10-30,pegged,calibration rejected (boundary-pegged),0.010147333597750252,12.0,142.0,512.0
2013-10-31,pegged,calibration rejected (boundary-pegged),0.013774419990355528,13.0,135.0,536.0
2013-11-01,pegged,calibration rejected (boundary-pegged),0.01222036214863821,12.0,122.0,522.0
2013-11-04,pegged,calibration rejected (boundary-pegged),0.011906707883814868,10.0,98.0,346.0
2013-11-06,pegged,calibration rejected (boundary-pegged),0.011563138318410878,12.0,115.0,415.0
2013-11-07,pegged,calibration rejected (boundary-pegged),0.013686065743911981,13.0,141.0,583.0
2013-11-08,pegged,calibration rejected (boundary-pegged),0.009670814987495044,11.0,118.0,443.0
2013-11-11,pegged,calibration rejected (boundary-pegged),0.010992165106730175,10.0,111.0,343.0
2013-11-13,pegged,calibration rejected (boundary-pegged),0.01165378184824242,13.0,141.0,542.0
2013-11-14,pegged,calibration rejected (boundary-pegged),0.010139535107720438,12.0,129.0,540.0
2013-11-15,pegged,calibration rejected (boundary-pegged),0.011141765830499924,12.0,120.0,462.0
2013-11-18,pegged,calibration rejected (boundary-pegged),0.012387697258959347,13.0,128.0,503.0
2013-11-19,pegged,calibration rejected (boundary-pegged),0.015624407601706922,12.0,118.0,471.0
2013-11-20,pegged,calibration rejected (boundary-pegged),0.018862472018596966,11.0,129.0,497.0
2013-11-21,pegged,calibration rejected (boundary-pegged),0.018142276222471748,12.0,118.0,458.0
2013-11-22,pegged,calibration rejected (boundary-pegged),0.014310899079697193,11.0,123.0,425.0
2013-11-25,pegged,calibration rejected (boundary-pegged),0.01484935571702109,12.0,123.0,451.0
2013-11-26,pegged,calibration rejected (boundary-pegged),0.017957050598135307,12.0,102.0,373.0
2013-11-27,pegged,calibration rejected (boundary-pegged),0.014720066354516127,12.0,119.0,391.0
2013-11-29,pegged,calibration rejected (boundary-pegged),0.010248698484259033,11.0,115.0,359.0
2013-12-02,pegged,calibration rejected (boundary-pegged),0.011039795609634074,11.0,109.0,396.0
2013-12-03,pegged,calibration rejected (boundary-pegged),0.01044313754769911,11.0,113.0,447.0
2013-12-04,pegged,calibration rejected (boundary-pegged),0.01192277743369047,13.0,129.0,533.0
