date,spot_price,risk_free_rate,dividend_rate,theta,kappa,rho,eta,v0,lambda_,nu,delta,feller,iv_rmse,rmse,n_helpers,accepted,n_maturities,n_strikes,contracts_count,total_volume,spot_min,spot_max,spot_range_pct,high_move,calculation_date
2012-02-01,1326.4317,0.001017,0.020402999999999998,0.14227866807851533,0.3079696064041745,-0.8490447607077463,0.4521655488627217,0.02392580723396412,0.07798792145743341,-0.42381015483677187,0.4999524457161018,-0.11681867276262525,0.007003308115224068,0.15034781034516398,371,True,11,111,371,422921,1312.45,1330.42,0.013691950169530287,False,2012-02-01 16:16:50.867
2012-02-02,1325.9511,0.0012720000000000001,0.020387,0.11443575782549867,0.5049634857966082,-0.8230761700464938,0.5372076638001049,0.023111143739556726,0.07424127656539192,-0.3603913465037357,0.4999563583647315,-0.17302031570288595,0.0065548513408779,0.14768748788378613,267,True,9,90,267,202453,1321.58,1329.19,0.005758259053557202,False,2012-02-02 16:15:15.429
2012-02-03,1342.2899,0.001527,0.020125,0.16624141085495447,0.2576534492900251,-0.8342291664986826,0.4248476092434061,0.0199099761653915,0.0722015899128891,-0.384341395065991,0.49995883885686104,-0.09483014523659938,0.007424218068378007,0.20056488598601868,345,True,10,99,345,638115,1326.21,1345.34,0.014424563229051168,False,2012-02-03 16:18:17.181
2012-02-06,1341.6754,0.001527,0.020125,0.08041505600712778,0.9607738147073079,-0.7211838955900643,0.6696362148761822,0.02316678232400709,0.04795242919400911,-0.49999244567312007,0.49997745946682715,-0.2938913000339605,0.00691180241143001,0.13938066382210512,207,True,9,81,207,170856,1337.52,1344.33,0.005091512650278185,False,2012-02-06 16:18:29
2012-02-07,1343.7008,0.00198,0.020097999999999998,0.10435316600084728,0.42134714639908705,-0.8363252371455735,0.433271466730032,0.023274729915571345,0.05606180803851964,-0.48787445494053827,0.4999725520908232,-0.09978634645805876,0.006351036302353482,0.1962038430242929,306,True,10,102,306,226987,1336.07,1349.24,0.00985726795751729,False,2012-02-07 16:16:46.406
2012-02-08,1347.3485,0.001573,0.020081,0.1137330437059697,0.36875719143825264,-0.8359700662308124,0.4422413944515034,0.02463065375402084,0.0561710821281185,-0.4999999611339904,0.49581033649734685,-0.11169769542493536,0.007010489780730313,0.20445325645495385,298,True,10,109,298,208666,1342.2,1351.0,0.006556399940396362,False,2012-02-08 16:18:31.520
2012-02-09,1350.3661,0.001573,0.020081,0.09710927039502619,0.45621472994136353,-0.7911892223393652,0.46508794377347074,0.024885448779235597,0.0670557716146255,-0.4999998800221914,0.4382183768587072,-0.12770143630729563,0.006572051729316627,0.2066284884782944,285,True,9,98,285,295120,1344.87,1354.28,0.006996958813863197,False,2012-02-09 16:17:40.043
2012-02-10,1340.6152,0.0015229999999999998,0.0202,0.08164731133093567,0.6211431639341817,-0.7955430939404312,0.5734375691716266,0.03059244216251541,0.0815468970114992,-0.4999999811384884,0.4494422545477288,-0.22740130716383095,0.007623056397553817,0.25562865025974973,272,True,10,95,272,358125,1337.38,1351.21,0.01034111471683441,False,2012-02-10 16:18:23.063
2012-02-13,1350.1142,0.0016289999999999998,0.020104999999999998,0.0722513364900525,0.742303141579253,-0.7789933697060561,0.5459224409493546,0.025475886144165523,0.08691899682383045,-0.49999994917666724,0.46514135773251747,-0.19076652341237016,0.005404318584001711,0.13785003391479342,248,True,8,88,248,363424,1343.06,1353.32,0.007639271514303214,False,2012-02-13 16:19:27.111
2012-02-14,1346.5697,0.0016289999999999998,0.020155,0.07415325437351945,1.0783051277728362,-0.7495259595620434,0.7246603940295739,0.02761208007273508,0.08180455688055158,-0.4999999650363413,0.46862137592074493,-0.36521301781107834,0.006476257384677599,0.12407154083242422,289,True,9,98,289,338628,1340.87,1351.3,0.007778531848725123,False,2012-02-14 16:18:24.797
