strike,maturity_days,moneyness,w,implied_vol,price
998.6169,60,0.78,put,0.31624772747952096,1.5438030834318015
1011.4197,60,0.79,put,0.3122709070482996,1.8674270048162276
1024.2225,60,0.8,put,0.30826998517133547,2.2506540857617647
1037.0253,60,0.81,put,0.3042423339882309,2.7028015593079746
1049.828,60,0.82,put,0.30018525074017643,3.2343364590437313
1062.6308,60,0.83,put,0.2960956905922879,3.856964639458759
1075.4336,60,0.84,put,0.29197035921498143,4.58371751765306
1088.2364,60,0.85,put,0.2878060494215642,5.429034428007574
1101.0392,60,0.86,put,0.2835988013468069,6.408838128975512
1113.8419,60,0.87,put,0.27934470346924295,7.540600627590484
1126.6447,60,0.88,put,0.27503925264059975,8.843396096719369
1139.4475,60,0.89,put,0.27067775778618497,10.33793725809799
1152.2503,60,0.9,put,0.266254948135318,12.04659119837697
1165.0531,60,0.91,put,0.2617647735237462,13.993370186026473
1177.8559,60,0.92,put,0.257201260005529,16.203892678162244
1190.6586,60,0.93,put,0.2525571588988016,18.70530936857434
1203.4614,60,0.94,put,0.24782394503103966,21.52618886290866
1216.2642,60,0.95,put,0.24299340546025566,24.696357426474645
1229.067,60,0.96,put,0.23805474026802168,28.24668732877571
1241.8698,60,0.97,put,0.23299673740850912,32.20882878548772
1254.6725,60,0.98,put,0.22780621766028195,36.61488171710908
1267.4753,60,0.99,put,0.2224683580563174,41.49700613533358
1280.2781,60,1.0,call,0.2169666257513903,42.836842875817
1293.0809,60,1.01,call,0.21128222446033784,35.966088802383325
1305.8837,60,1.02,call,0.20539546789595522,29.663570674598958
1318.6864,60,1.03,call,0.1992870569411969,23.956880704432198
1331.4892,60,1.04,call,0.1929426231294117,18.871182209036352
1344.292,60,1.05,call,0.18636055000852844,14.428484035017853
1357.0948,60,1.06,call,0.1795668859128491,10.646059956582391
1369.8976,60,1.07,call,0.17263710485352055,7.532583111705565
1382.7003,60,1.08,call,0.16571467713502053,5.0801475921421275
1395.5031,60,1.09,call,0.15901380335625231,3.252459931226515
1408.3059,60,1.1,call,0.15277951331492734,1.9756352183949606
1421.1087,60,1.11,call,0.14721758297274193,1.1424634046666715
1433.9115,60,1.12,call,0.14243738408404258,0.632865256611331
1446.7143,60,1.13,call,0.1384460618085498,0.3382197910387719
1459.517,60,1.14,call,0.13518026408728795,0.1755430756496137
1472.3198,60,1.15,call,0.13254545971295065,0.08898075818142435
1485.1226,60,1.16,call,0.13044272134443385,0.044249397155030144
1497.9254,60,1.17,call,0.12878080184789165,0.021667050928051126
1510.7282,60,1.18,call,0.12748240528654034,0.010477268944862903
1523.5309,60,1.19,call,0.1264825320529688,0.00501519225771943
1536.3337,60,1.2,call,0.12572859839131606,0.0023810419290018316
960.2086,65,0.75,put,0.32789220162147725,1.1206120677590374
973.0114,65,0.76,put,0.32397610064531007,1.3534729839906359
985.8141,65,0.77,put,0.3200430851154996,1.6289373344134779
998.6169,65,0.78,put,0.3160911779512322,1.9536637746162104
1011.4197,65,0.79,put,0.3121175314533398,2.3351486294478674
1024.2225,65,0.8,put,0.3081200522527879,2.7817978610813454
1037.0253,65,0.81,put,0.30409603855446743,3.302999872726596
1049.828,65,0.82,put,0.3000426606256052,3.909198122211197
1062.6308,65,0.83,put,0.2959570903374302,4.611962322714714
1075.4336,65,0.84,put,0.29183564481400187,5.424056795203965
1088.2364,65,0.85,put,0.2876753494720202,6.359504309437664
1101.0392,65,0.86,put,0.28347257058272957,7.433643509377178
1113.8419,65,0.87,put,0.27922274254237406,8.663177766586976
1126.6447,65,0.88,put,0.27492186766586757,10.066213044827869
1139.4475,65,0.89,put,0.27056558863811053,11.662282094747138
1152.2503,65,0.9,put,0.26614769885648815,13.472352035354698
1165.0531,65,0.91,put,0.2616631325821417,15.518812127339075
1177.8559,65,0.92,put,0.2571053739538239,17.82543831515933
1190.6586,65,0.93,put,0.2524671410726894,20.41733093060933
1203.4614,65,0.94,put,0.2477405753720084,23.320821844943822
1216.2642,65,0.95,put,0.24291684619159262,26.563347391685085
1229.067,65,0.96,put,0.23798574833496455,30.17328367397043
1241.8698,65,0.97,put,0.23293592935940857,34.17974163741186
1254.6725,65,0.98,put,0.22775450151003607,38.612320933911136
1267.4753,65,0.99,put,0.2224268885321221,43.500824801769106
1280.2781,65,1.0,call,0.21693683788199095,44.48797478393771
1293.0809,65,1.01,call,0.21126635484650755,37.57777269159497
1305.8837,65,1.02,call,0.20539673875931322,31.21091837980818
