strike,maturity_days,moneyness,w,price
1504.3268,90,1.175,call,0.1456206708581576
1536.3337,90,1.2,call,0.040058106068988
1568.3407,90,1.225,call,0.010792159303633583
960.2086,100,0.75,put,3.8774629113601353
992.2155,100,0.775,put,5.392153597620215
1024.2225,100,0.8,put,7.397278571034764
1056.2294,100,0.825,put,10.01818252206974
1088.2364,100,0.85,put,13.402722851642002
1120.2433,100,0.875,put,17.722932645829548
1152.2503,100,0.9,put,23.176232058457778
1184.2572,100,0.925,put,29.98607810660404
1216.2642,100,0.95,put,38.40207040697976
1248.2711,100,0.975,put,48.69995743264651
1280.2781,100,1.0,call,54.441339780814246
1312.2851,100,1.025,call,37.45632303908188
1344.292,100,1.05,call,23.392615919471616
1376.299,100,1.075,call,12.715003478620204
1408.3059,100,1.1,call,5.773972371404956
1440.3129,100,1.125,call,2.199683532686439
1472.3198,100,1.15,call,0.7446714347705125
1504.3268,100,1.175,call,0.2366553480003659
1536.3337,100,1.2,call,0.07278257601829818
1568.3407,100,1.225,call,0.022012099680627485
960.2086,110,0.75,put,4.885507801645281
992.2155,110,0.775,put,6.635935668780453
1024.2225,110,0.8,put,8.903269049656268
1056.2294,110,0.825,put,11.807114698000175
1088.2364,110,0.85,put,15.486332371512185
1120.2433,110,0.875,put,20.10030219709321
1152.2503,110,0.9,put,25.829935873664777
1184.2572,110,0.925,put,32.87844716350367
1216.2642,110,0.95,put,41.4720846866625
1248.2711,110,0.975,put,51.86155870540219
1280.2781,110,1.0,call,56.91243113266366
1312.2851,110,1.025,call,39.78072856000961
1344.292,110,1.05,call,25.430391647028383
1376.299,110,1.075,call,14.32845462242501
1408.3059,110,1.1,call,6.86589818860769
1440.3129,110,1.125,call,2.805193044609274
1472.3198,110,1.15,call,1.028636284994247
1504.3268,110,1.175,call,0.35643250695270795
1536.3337,110,1.2,call,0.12010378752667406
1568.3407,110,1.225,call,0.03992947723366658
960.2086,120,0.75,put,5.964244326987021
992.2155,120,0.775,put,7.94222038947022
1024.2225,120,0.8,put,10.45789210500122
1056.2294,120,0.825,put,13.625015076339013
1088.2364,120,0.85,put,17.573969671728708
1120.2433,120,0.875,put,22.452796845941776
1152.2503,120,0.9,put,28.428135585313022
1184.2572,120,0.925,put,35.686168046798066
1216.2642,120,0.95,put,44.433911911633956
1248.2711,120,0.975,put,54.90179371066127
