Start Date,22/06/1997,10000
End Date,07/11/2024,0
,,
,USGG12M Index,
,Last Trade/Last Price,
Dates,LAST_PRICE,
23/12/1999,5.94,
24/12/1999,5.94,
27/12/1999,5.939,
28/12/1999,5.917,
29/12/1999,5.883,
30/12/1999,5.893,
31/12/1999,5.957,
03/01/2000,6.078,
04/01/2000,6.011,
05/01/2000,6.042,
06/01/2000,5.997,
07/01/2000,6.006,
10/01/2000,6.049,
11/01/2000,6.104,
12/01/2000,6.125,
13/01/2000,6.091,
14/01/2000,6.111,
17/01/2000,6.099,
18/01/2000,6.12,
19/01/2000,6.098,
20/01/2000,6.108,
21/01/2000,6.106,
24/01/2000,6.072,
25/01/2000,6.094,
26/01/2000,6.093,
27/01/2000,6.147,
28/01/2000,6.189,
31/01/2000,6.244,
01/02/2000,6.277,
02/02/2000,6.198,
03/02/2000,6.141,
04/02/2000,6.195,
07/02/2000,6.216,
08/02/2000,6.193,
09/02/2000,6.17,
10/02/2000,6.18,
11/02/2000,6.167,
14/02/2000,6.177,
15/02/2000,6.176,
16/02/2000,6.198,
17/02/2000,6.241,
18/02/2000,6.249,
21/02/2000,6.221,
22/02/2000,6.181,
23/02/2000,6.237,
24/02/2000,6.192,
25/02/2000,6.134,
28/02/2000,6.211,
29/02/2000,6.232,
01/03/2000,6.17,
02/03/2000,6.169,
03/03/2000,6.144,
06/03/2000,6.188,
07/03/2000,6.143,
08/03/2000,6.164,
09/03/2000,6.152,
10/03/2000,6.205,
13/03/2000,6.182,
14/03/2000,6.171,
15/03/2000,6.192,
16/03/2000,6.18,
17/03/2000,6.178,
20/03/2000,6.21,
21/03/2000,6.198,
22/03/2000,6.187,
23/03/2000,6.197,
24/03/2000,6.283,
27/03/2000,6.282,
28/03/2000,6.27,
29/03/2000,6.27,
30/03/2000,6.225,
31/03/2000,6.234,
03/04/2000,6.2,
04/04/2000,6.111,
05/04/2000,6.11,
06/04/2000,6.153,
07/04/2000,6.14,
10/04/2000,6.085,
11/04/2000,6.117,
12/04/2000,6.116,
13/04/2000,6.115,
14/04/2000,6.037,
17/04/2000,6.069,
18/04/2000,6.035,
19/04/2000,6.056,
20/04/2000,6.065,
21/04/2000,6.064,
24/04/2000,6.074,
25/04/2000,6.129,
26/04/2000,6.107,
27/04/2000,6.139,
28/04/2000,6.17,
01/05/2000,6.224,
02/05/2000,6.19,
03/05/2000,6.189,
04/05/2000,6.156,
05/05/2000,6.241,
08/05/2000,6.317,
09/05/2000,6.306,
10/05/2000,6.294,
11/05/2000,6.304,
12/05/2000,6.379,
15/05/2000,6.335,
16/05/2000,6.367,
17/05/2000,6.355,
18/05/2000,6.278,
19/05/2000,6.2,
22/05/2000,6.166,
23/05/2000,6.155,
24/05/2000,6.176,
25/05/2000,6.175,
26/05/2000,6.184,
29/05/2000,6.172,
30/05/2000,6.172,
31/05/2000,6.172,
01/06/2000,6.313,
02/06/2000,6.222,
05/06/2000,6.221,
06/06/2000,6.231,
07/06/2000,6.209,
08/06/2000,6.219,
09/06/2000,6.228,
12/06/2000,6.194,
13/06/2000,6.16,
14/06/2000,6.126,
15/06/2000,6.136,
16/06/2000,6.078,
19/06/2000,6.1,
20/06/2000,6.121,
21/06/2000,6.142,
22/06/2000,6.142,
23/06/2000,6.184,
26/06/2000,6.139,
27/06/2000,6.149,
28/06/2000,6.126,
29/06/2000,6.07,
30/06/2000,6.057,
03/07/2000,6.056,
04/07/2000,#N/A,
05/07/2000,6.043,
06/07/2000,6.076,
07/07/2000,6.052,
10/07/2000,6.074,
11/07/2000,6.073,
12/07/2000,6.083,
13/07/2000,6.05,
14/07/2000,6.091,
17/07/2000,6.113,
18/07/2000,6.101,
19/07/2000,6.111,
20/07/2000,6.034,
21/07/2000,6.032,
24/07/2000,6.042,
25/07/2000,6.041,
26/07/2000,6.019,
27/07/2000,6.029,
28/07/2000,6.027,
31/07/2000,6.059,
01/08/2000,6.059,
02/08/2000,6.102,
03/08/2000,6.09,
04/08/2000,6.066,
07/08/2000,6.099,
08/08/2000,6.12,
09/08/2000,6.152,
10/08/2000,6.162,
11/08/2000,6.226,
14/08/2000,6.203,
15/08/2000,6.203,
16/08/2000,6.202,
17/08/2000,6.18,
18/08/2000,6.156,
21/08/2000,6.177,
22/08/2000,6.176,
23/08/2000,6.176,
24/08/2000,6.175,
25/08/2000,6.206,
28/08/2000,6.238,
29/08/2000,6.27,
30/08/2000,6.236,
31/08/2000,6.213,
01/09/2000,6.177,
04/09/2000,6.173,
05/09/2000,6.164,
06/09/2000,6.186,
07/09/2000,6.219,
08/09/2000,6.183,
11/09/2000,6.216,
12/09/2000,6.171,
13/09/2000,6.115,
14/09/2000,6.125,
15/09/2000,6.1,
18/09/2000,6.067,
19/09/2000,6.099,
20/09/2000,6.098,
21/09/2000,6.042,
22/09/2000,6.084,
25/09/2000,6.095,
26/09/2000,6.061,
27/09/2000,6.071,
28/09/2000,6.081,
29/09/2000,6.09,
02/10/2000,6.068,
03/10/2000,6.056,
04/10/2000,6.055,
05/10/2000,6.054,
06/10/2000,6.074,
09/10/2000,6.062,
10/10/2000,6.039,
11/10/2000,6.028,
12/10/2000,5.918,
13/10/2000,5.96,
16/10/2000,5.97,
17/10/2000,5.937,
18/10/2000,5.936,
19/10/2000,5.957,
20/10/2000,5.944,
23/10/2000,5.955,
24/10/2000,5.976,
25/10/2000,6.03,
26/10/2000,6.095,
27/10/2000,6.159,
30/10/2000,6.169,
31/10/2000,6.168,
01/11/2000,6.167,
02/11/2000,6.145,
03/11/2000,6.176,
06/11/2000,6.208,
