s_ref,strike,maturity_days,moneyness,w,implied_vol,price,date
1280.2781,1472.3198,60,1.15,put,0.13250091185808605,196.13073102963892,2012-01-03
1280.2781,1485.1226,60,1.16,call,0.1304005808530088,0.044095386419592264,2012-01-03
1280.2781,1485.1226,60,1.16,put,0.1304005808530363,208.88559299515055,2012-01-03
1280.2781,1497.9254,60,1.17,call,0.12874090135642471,0.02158648509999174,2012-01-03
1280.2781,1497.9254,60,1.17,put,0.1287409013563285,221.66254451820825,2012-01-03
1280.2781,1510.7282,60,1.18,call,0.1274445482832191,0.010435985347212722,2012-01-03
1280.2781,1510.7282,60,1.18,put,0.1274445482834555,234.45085444283302,2012-01-03
1280.2781,1523.5309,60,1.19,call,0.12644652161423858,0.00499438722258651,2012-01-03
1280.2781,1523.5309,60,1.19,put,0.12644652161384026,247.24487326908593,2012-01-03
1280.2781,1536.3337,60,1.2,call,0.1256942484347953,0.0023706976535539407,2012-01-03
1280.2781,1536.3337,60,1.2,put,0.12569424843477842,260.0417100038942,2012-01-03
1280.2781,960.2086,90,0.75,call,0.327062768198234,316.8298027735522,2012-01-03
1280.2781,960.2086,90,0.75,put,0.3270627681982306,2.9543917725372517,2012-01-03
1280.2781,973.0114,90,0.76,call,0.32316100743538745,304.49350768143427,2012-01-03
1280.2781,973.0114,90,0.76,put,0.3231610074353883,3.4158971399631035,2012-01-03
1280.2781,985.8141,90,0.77,call,0.3192427900630318,292.21940144128143,2012-01-03
1280.2781,985.8141,90,0.77,put,0.31924279006303224,3.9395913593541967,2012-01-03
1280.2781,998.6169,90,0.78,call,0.31530583857404954,280.01443925538064,2012-01-03
1280.2781,998.6169,90,0.78,put,0.3153058385740524,4.532429632997224,2012-01-03
1280.2781,1011.4197,90,0.79,call,0.3113479909254125,267.8861714796151,2012-01-03
1280.2781,1011.4197,90,0.79,put,0.31134799092541343,5.201962316775446,2012-01-03
1280.2781,1024.2225,90,0.8,call,0.3073663651686125,255.8427733621503,2012-01-03
1280.2781,1024.2225,90,0.8,put,0.30736636516861304,5.956364658854567,2012-01-03
1280.2781,1037.0253,90,0.81,call,0.3033591761323537,243.89307385356784,2012-01-03
1280.2781,1037.0253,90,0.81,put,0.3033591761323508,6.804465609815808,2012-01-03
1280.2781,1049.828,90,0.82,call,0.29932292207918765,232.04658312604548,2012-01-03
1280.2781,1049.828,90,0.82,put,0.2993229220791886,7.755775341837119,2012-01-03
1280.2781,1062.6308,90,0.83,call,0.2952550133284847,220.31351840724335,2012-01-03
1280.2781,1062.6308,90,0.83,put,0.2952550133284839,8.820511082578907,2012-01-03
1280.2781,1075.4336,90,0.84,call,0.29115203829721614,208.70482770362702,2012-01-03
1280.2781,1075.4336,90,0.84,put,0.29115203829721575,10.009620838506482,2012-01-03
1280.2781,1088.2364,90,0.85,call,0.2870108966239069,197.23221095938234,2012-01-03
1280.2781,1088.2364,90,0.85,put,0.28701089662390666,11.334804553805482,2012-01-03
1280.2781,1101.0392,90,0.86,call,0.2828278761213328,185.9081381725605,2012-01-03
1280.2781,1101.0392,90,0.86,put,0.2828278761213323,12.808532226527563,2012-01-03
1280.2781,1113.8419,90,0.87,call,0.27859910345139605,174.74586397231164,2012-01-03
1280.2781,1113.8419,90,0.87,put,0.2785991034513955,14.44405848582237,2012-01-03
1280.2781,1126.6447,90,0.88,call,0.2743201970114981,163.75943815413336,2012-01-03
1280.2781,1126.6447,90,0.88,put,0.27432019701149857,16.255433127188027,2012-01-03
1280.2781,1139.4475,90,0.89,call,0.2699866186862189,152.9637116803697,2012-01-03
1280.2781,1139.4475,90,0.89,put,0.2699866186862188,18.257507112968256,2012-01-03
1280.2781,1152.2503,90,0.9,call,0.2655934435788257,142.3743376909999,2012-01-03
1280.2781,1152.2503,90,0.9,put,0.26559344357882647,20.465933583142167,2012-01-03
1280.2781,1165.0531,90,0.91,call,0.26113462410121835,132.00776715189815,2012-01-03
1280.2781,1165.0531,90,0.91,put,0.26113462410121846,22.897163503584324,2012-01-03
1280.2781,1177.8559,90,0.92,call,0.25660444911937275,121.88123892201418,2012-01-03
1280.2781,1177.8559,90,0.92,put,0.2566044491193727,25.568435733244243,2012-01-03
1280.2781,1190.6586,90,0.93,call,0.2519959665219447,112.01276429370044,2012-01-03
1280.2781,1190.6586,90,0.93,put,0.2519959665219448,28.4977615644742,2012-01-03
1280.2781,1203.4614,90,0.94,call,0.24730166392125424,102.42110652825534,2012-01-03
1280.2781,1203.4614,90,0.94,put,0.24730166392125463,31.703904258572784,2012-01-03
1280.2781,1216.2642,90,0.95,call,0.24251309297794926,93.12575669560849,2012-01-03
1280.2781,1216.2642,90,0.95,put,0.24251309297794965,35.20635488546985,2012-01-03
1280.2781,1229.067,90,0.96,call,0.23762097716761893,84.14690842458273,2012-01-03
1280.2781,1229.067,90,0.96,put,0.23762097716761887,39.02530707398777,2012-01-03
1280.2781,1241.8698,90,0.97,call,0.23261477413518034,75.50543625129254,2012-01-03
1280.2781,1241.8698,90,0.97,put,0.23261477413518078,43.181635360241486,2012-01-03
1280.2781,1254.6725,90,0.98,call,0.22748337297912122,67.22288544649082,2012-01-03
1280.2781,1254.6725,90,0.98,put,0.22748337297912063,47.69688501498368,2012-01-03
1280.2781,1267.4753,90,0.99,call,0.22221392696215808,59.32148574437865,2012-01-03
1280.2781,1267.4753,90,0.99,put,0.2222139269621584,52.59328577241519,2012-01-03
1280.2781,1280.2781,90,1.0,call,0.21679320971959182,51.8242057014667,2012-01-03
1280.2781,1280.2781,90,1.0,put,0.2167932097195918,57.89380618904716,2012-01-03
1280.2781,1293.0809,90,1.01,call,0.21120765199792216,44.75487800760085,2012-01-03
1280.2781,1293.0809,90,1.01,put,0.21120765199792196,63.622278954725225,2012-01-03
1280.2781,1305.8837,90,1.02,call,0.20544487302115946,38.13839710653476,2012-01-03
1280.2781,1305.8837,90,1.02,put,0.2054448730211595,69.80359851320281,2012-01-03
1280.2781,1318.6864,90,1.03,call,0.19949471173837466,32.001011613611865,2012-01-03
1280.2781,1318.6864,90,1.03,put,0.19949471173837477,76.46401347982383,2012-01-03
1280.2781,1331.4892,90,1.04,call,0.19335557985900165,26.370616128634342,2012-01-03
1280.2781,1331.4892,90,1.04,put,0.1933555798590011,83.63141845439021,2012-01-03
1280.2781,1344.292,90,1.05,call,0.1870381892149722,21.276802153566774,2012-01-03
1280.2781,1344.292,90,1.05,put,0.18703818921497223,91.33540493886633,2012-01-03
1280.2781,1357.0948,90,1.06,call,0.18057640456728197,16.75009531352603,2012-01-03
1280.2781,1357.0948,90,1.06,put,0.18057640456728183,99.60649855836951,2012-01-03
1280.2781,1369.8976,90,1.07,call,0.17403723975140356,12.819347143871177,2012-01-03
1280.2781,1369.8976,90,1.07,put,0.17403723975140412,108.47355084825834,2012-01-03
1280.2781,1382.7003,90,1.08,call,0.16753236045751446,9.505949282643101,2012-01-03
1280.2781,1382.7003,90,1.08,put,0.1675323604575135,117.95795344657418,2012-01-03
1280.2781,1395.5031,90,1.09,call,0.161217495930886,6.814265876166275,2012-01-03
1280.2781,1395.5031,90,1.09,put,0.16121749593088547,128.06407049964125,2012-01-03
1280.2781,1408.3059,90,1.1,call,0.15527645157324207,4.720544484904923,2012-01-03
1280.2781,1408.3059,90,1.1,put,0.15527645157324219,138.7681495679236,2012-01-03
1280.2781,1421.1087,90,1.11,call,0.14987949694274744,3.166666831204982,2012-01-03
1280.2781,1421.1087,90,1.11,put,0.14987949694274902,150.01207237376755,2012-01-03
1280.2781,1433.9115,90,1.12,call,0.14514318498245074,2.0653591717689075,2012-01-03
