date,spot_price,risk_free_rate,dividend_rate,theta,kappa,rho,eta,v0,lambda_,nu,delta,feller,iv_rmse,rmse,n_helpers,accepted,n_maturities,n_strikes,contracts_count,total_volume,spot_min,spot_max,spot_range_pct,high_move,calculation_date
2012-02-01,1326.4317,0.001017,0.020402999999999998,0.11002479569591071,0.3631348092221563,-0.8780922917307694,0.3966264880265911,0.024151829559885922,0.07675113358602467,-0.43299871606860596,0.4911187761414002,-0.0774049046148251,0.007678729527584972,0.13993801050430568,371,True,11,111,371,422921,1312.45,1330.42,0.013691950169530287,False,2012-02-01 16:16:50.867
2012-02-02,1325.9511,0.0012720000000000001,0.020387,0.09539885719797045,0.5351010538391091,-0.8559089425976456,0.4571438517808377,0.02394405874795902,0.06996667979219201,-0.38911923325963593,0.49996268258969556,-0.10688444317765919,0.007231490216094744,0.1347542295748424,267,True,9,90,267,202453,1321.58,1329.19,0.005758259053557202,False,2012-02-02 16:15:15.429
2012-02-06,1341.6754,0.001527,0.020125,0.06134474201040153,1.162097975868869,-0.728199655485836,0.6890123766332007,0.025850625007775168,0.04894762735859682,-0.4261160200788998,0.4999520875605427,-0.3321608541127604,0.00964726972242498,0.11230900006593728,207,True,9,81,207,170856,1337.52,1344.33,0.005091512650278185,False,2012-02-06 16:18:29
2012-02-03,1342.2899,0.001527,0.020125,0.20871691639731876,0.15044156777736267,-0.8839256837822729,0.3219924250980391,0.020372446515088717,0.0838097037353794,-0.35301335663877786,0.42450566442720783,-0.040879721571577585,0.00880926109084273,0.16796804192566125,345,True,10,99,345,638115,1326.21,1345.34,0.014424563229051168,False,2012-02-03 16:18:17.181
2012-02-07,1343.7008,0.00198,0.020097999999999998,0.15774566684758887,0.7553324679151935,-0.997245440955426,1.0665673612183506,0.019863985431389126,4.999681284513634,0.011484943239469813,0.03420884717249669,-0.8992650883304412,0.007168399265883853,0.09896111253894155,306,True,10,102,306,226987,1336.07,1349.24,0.00985726795751729,False,2012-02-07 16:16:46.406
2012-02-08,1347.3485,0.001573,0.020081,0.1646765812433431,0.7719552638083963,-0.9907313700077085,1.198040141111613,0.020744115959504643,3.876547607916667,0.02463611110279658,0.03178608189127602,-1.1810542722811943,0.008464826418524321,0.11394433060390692,298,True,10,109,298,208666,1342.2,1351.0,0.006556399940396362,False,2012-02-08 16:18:31.520
2012-02-10,1340.6152,0.0015229999999999998,0.0202,0.2358601104752173,0.5018456472158738,-0.9318011666051668,1.2574018361583423,0.033513231219761706,3.0529225992137823,-0.0013461685829527221,0.049237971928384444,-1.344328637986685,0.009230097142369493,0.1282298209379295,272,True,10,95,272,358125,1337.38,1351.21,0.01034111471683441,False,2012-02-10 16:18:23.063
2012-02-09,1350.3661,0.001573,0.020081,0.043702145520203094,1.0559577994120153,-0.7690652045386778,0.437083548086601,0.025433260211188732,0.10138771289562314,-0.3874047495000553,0.3256108371139131,-0.0987467851817774,0.009320041385990603,0.13151636228219027,285,True,9,98,285,295120,1344.87,1354.28,0.006996958813863197,False,2012-02-09 16:17:40.043
2012-02-13,1350.1142,0.0016289999999999998,0.020104999999999998,0.05062559842083541,0.7108324501267426,-0.8505217573013416,0.384470598816316,0.024269718116250862,0.1326302819468032,-0.39286431305694997,0.37521939507422375,-0.07584500502494664,0.006976942888499505,0.1044531071074858,248,True,8,88,248,363424,1343.06,1353.32,0.007639271514303214,False,2012-02-13 16:19:27.111
2012-02-14,1346.5697,0.0016289999999999998,0.020155,0.08887470583694607,2.7163342029192394,-0.8483122233590424,1.4299747449674176,0.03650543912461378,0.1372593130892546,0.10309852941786125,0.0010000042153600322,-1.5620009647660655,0.00979285898319437,0.11898361435360513,289,True,9,98,289,338628,1340.87,1351.3,0.007778531848725123,False,2012-02-14 16:18:24.797
2012-02-16,1352.2582,0.001527,0.020093999999999997,0.047211551232447045,2.038153008785701,-0.768940865320828,0.7552035013083155,0.02624591027347665,0.1273782201983696,-0.4216101344766512,0.3677127267759762,-0.3778835980006345,0.009196782928770268,0.13325841960574578,325,True,8,101,325,375577,1341.22,1359.02,0.013271499082924576,False,2012-02-16 16:19:29.302
2012-02-17,1360.1999,0.001527,0.02005,0.06783606572121656,0.8789220726700769,-0.8236009273292394,0.48409738042586165,0.021163959008456378,0.09373919767667864,-0.47045898808880177,0.4571162121656055,-0.11510504276423097,0.007462858939801938,0.14310360257613047,269,True,9,95,269,368175,1357.31,1363.21,0.00434683307424244,False,2012-02-17 16:18:51.296
2012-02-21,1363.8662,0.001527,0.020038999999999998,0.08724204654746666,0.5066408465207433,-0.8498805026488764,0.4747135532321246,0.02106608217563561,0.23966461370022948,-0.19949052534015946,0.2461040326670082,-0.136952188992248,0.01142529253871286,0.14005856805976286,324,True,9,101,324,488773,1358.11,1367.76,0.007105462738658863,False,2012-02-21 16:19:07.673
2012-02-22,1358.9989,0.001527,0.020111,0.11994386389839833,0.5503141767657805,-0.8620180525189665,0.5365893870470972,0.023192616946370335,0.11984879651831049,-0.28509004504186664,0.3136205793183344,-0.15591455285287173,0.011540059834747464,0.18659864399367193,286,True,7,98,286,424899,1355.61,1362.63,0.005178480536437657,False,2012-02-22 16:18:34.784
2012-02-24,1366.6058,0.001578,0.020028,0.07039050635962227,0.9243905750501393,-0.8268925700792465,0.4764274749079419,0.019741799894799756,0.06394404105340519,-0.4999997597310067,0.4048411086369981,-0.09684649754347419,0.013467292321445286,0.2321467641335985,283,True,8,90,283,362019,1363.46,1368.88,0.003975180790048993,False,2012-02-24 16:16:55.072
2012-02-23,1360.3123,0.001527,0.020053,0.07684634896618045,0.8321383914040918,-0.8499145593344674,0.5239381230117489,0.021373891788861767,0.12497890153347575,-0.279275108588298,0.3000410575360768,-0.14661756231708475,0.01372564003615048,0.19250247203855558,346,True,10,101,346,363543,1352.28,1364.18,0.008799952672523537,False,2012-02-23 16:19:14.350
2012-02-27,1366.12,0.001578,0.020021,0.09188961114081297,0.6923575840304127,-0.8446306328185053,0.5677963406623778,0.02195956565000193,0.14632004482973499,-0.2378134610664503,0.2671399264990693,-0.1951517461356923,0.013294767660416483,0.20760753589470052,380,True,11,102,380,290335,1354.99,1371.94,0.012509317411936616,False,2012-02-27 16:19:08.911
2012-02-28,1370.7968,0.001578,0.019975,0.07150243879106936,0.8594151247397847,-0.8653383464882152,0.5098228041399266,0.023122608304830355,0.11858632338139927,-0.2849060324147201,0.29422329135855574,-0.1370187369154466,0.01470866664178714,0.21798442000377596,301,True,9,100,301,287623,1366.08,1373.09,0.0051314710705083755,False,2012-02-28 16:15:59.544
2012-03-01,1372.6427,0.001017,0.019892,0.28207810181693177,0.18767441431258575,-0.8987626110892736,0.5149222363701935,0.020409820658954747,0.19254810632928038,-0.1721562516707822,0.2244547900701899,-0.15926722441068425,0.01301233417245928,0.19973574041021527,304,True,9,96,304,297245,1365.9,1376.15,0.0075042096786002155,False,2012-03-01 16:18:14.458
2012-02-29,1370.7188,0.001578,0.020087,0.07623173468848794,0.7875795754138698,-0.8586183274837161,0.5160532548795957,0.022833184014103565,0.1302190857780417,-0.2651776744452041,0.28071701851283115,-0.1462338473937808,0.013942615937147686,0.2170629392703128,412,True,10,112,412,332615,1363.81,1378.04,0.010434004736730174,False,2012-02-29 16:19:40.211
2012-03-05,1363.2899,0.001777,0.020038999999999998,0.07636727707065688,0.9755606468709984,-0.8574034084363408,0.5996546245402249,0.02312819811470707,0.1435428836740265,-0.24235858162897503,0.24946663127433755,-0.21058384829482452,0.012094082301588002,0.1691656839378484,269,True,8,94,269,174512,1359.13,1369.59,0.007696099710844395,False,2012-03-05 16:18:26.655
2012-03-02,1370.408,0.001221,0.019957,0.1766727738737455,0.2514197768622162,-0.9090225831192614,0.43560387283654106,0.019186724809393287,0.22266568824599767,-0.1665603213359544,0.21379054731945812,-0.10091267526026168,0.015426123343687741,0.21432777832886382,315,True,10,93,315,256598,1366.42,1374.52,0.005927899181803475,False,2012-03-02 16:19:15.569
2012-03-06,1344.5626,0.001777,0.020038999999999998,0.08258673896129479,0.984933891688252,-0.8618661336707759,0.6971278933111078,0.029594279208689726,0.18678603386563378,-0.2387455000599297,0.23434141899476663,-0.32330234321840357,0.011031791914754566,0.15199076796741207,350,True,11,113,350,230930,1340.03,1363.63,0.017611546010164014,False,2012-03-06 16:19:45.864
